title,published_date,duration,views,likes,comments,engagement_rate,day_of_week,hour,Month,Day,Hour,TitleLength,DayOfWeek
CMF Phone 2 Pro: Budget Phone of the Year!,2025-05-01 20:42:22+00:00,10.516666666666667,2013876,53462,2338,0.027707763536583187,Thursday,20,2025-05,Thursday,20,42,3
I Have A Problem with the Light Phone III,2025-04-21 20:14:23+00:00,14.383333333333333,2907886,73016,7560,0.027709476918971375,Monday,20,2025-04,Monday,20,41,0
Reviewing a Bionic Hand!,2025-04-15 23:31:15+00:00,11.733333333333333,2535733,90769,5463,0.03795036780291931,Tuesday,23,2025-04,Tuesday,23,24,1
Oppo Find X8 Ultra: The Bar's Been Raised!,2025-04-10 12:30:39+00:00,10.983333333333333,2904771,85035,5238,0.03107749285571909,Thursday,12,2025-04,Thursday,12,42,3
Nintendo Switch 2 Impressions: One Big Asterisk!,2025-04-03 22:49:16+00:00,14.75,6924765,188381,13822,0.029199980071525893,Thursday,22,2025-04,Thursday,22,48,3
PSA,2025-04-01 13:02:22+00:00,0.7833333333333333,986119,40277,909,0.041765750381039204,Tuesday,13,2025-04,Tuesday,13,3,1
Apple's AI Crisis: Explained!,2025-03-29 02:41:29+00:00,16.866666666666667,7934833,200584,14674,0.027128233196590273,Saturday,2,2025-03,Saturday,2,29,5
The Truth about Drone Deliveries!,2025-03-25 19:30:58+00:00,16.75,2660502,93929,5401,0.037335059323390846,Tuesday,19,2025-03,Tuesday,19,33,1
A DRONE Delivers Lunch,2025-03-25 13:12:52+00:00,0.8166666666666667,2376836,103655,2649,0.044725004165201136,Tuesday,13,2025-03,Tuesday,13,22,1
Google Pixel 9A Impressions: One Great Spec!,2025-03-19 14:00:39+00:00,6.833333333333333,2997881,91168,4752,0.03199593312743234,Wednesday,14,2025-03,Wednesday,14,44,2
Apple Silicon Explained in 56 seconds,2025-03-16 00:20:59+00:00,0.95,2421128,92773,1034,0.03874516341143467,Sunday,0,2025-03,Sunday,0,37,6
M4 Macbook Air Review: Too Easy!,2025-03-11 13:00:45+00:00,8.266666666666667,5556400,136442,5167,0.02548574616658268,Tuesday,13,2025-03,Tuesday,13,32,1
If Apple Made a Camera 👀,2025-03-05 15:29:53+00:00,1.0,7117192,262124,3839,0.03736909163051945,Wednesday,15,2025-03,Wednesday,15,24,2
Nothing Phone 3a/Pro: Now Do a Flagship!,2025-03-04 10:30:54+00:00,10.283333333333333,4056277,122236,4964,0.03135880513091192,Tuesday,10,2025-03,Tuesday,10,40,1
iPhone 16e Review: Who Are You?,2025-02-27 02:00:39+00:00,14.666666666666666,8201965,235641,16113,0.03069435190225757,Thursday,2,2025-02,Thursday,2,31,3
Are Foldables Cooked?,2025-02-20 14:05:23+00:00,11.0,4733545,131856,9204,0.02980007584167891,Thursday,14,2025-02,Thursday,14,21,3
Samsung's Special Sauce,2025-02-19 21:12:58+00:00,0.9333333333333333,3305567,172951,2076,0.05294916121803007,Wednesday,21,2025-02,Wednesday,21,23,2
Every Phone Should Copy This!,2025-02-14 15:43:55+00:00,9.366666666666667,2367135,79107,3969,0.03509559023883302,Friday,15,2025-02,Friday,15,29,4
PowerBeats Pro 2 Review: Still Better than AirPods!?,2025-02-11 15:00:37+00:00,10.166666666666666,2570489,77604,4192,0.0318211826621316,Tuesday,15,2025-02,Tuesday,15,52,1
Copy and Paste from Real Life!,2025-02-07 15:33:30+00:00,1.0,3236346,138808,1834,0.043457034569233326,Friday,15,2025-02,Friday,15,30,4
Samsung Galaxy S25 Ultra Review: The Tables Have Turned!,2025-02-05 22:18:18+00:00,14.383333333333333,5192951,150103,12284,0.03127065901449869,Wednesday,22,2025-02,Wednesday,22,56,2
I Tried Samsung's Secret Android XR Headset!,2025-01-27 23:37:14+00:00,11.816666666666666,2909644,98408,5664,0.035767949618578765,Monday,23,2025-01,Monday,23,44,0
Samsung Galaxy S25/Ultra Impressions: What Happened?,2025-01-22 18:00:39+00:00,9.383333333333333,6006748,160005,14550,0.029059817392039753,Wednesday,18,2025-01,Wednesday,18,52,2
Can Your Phone See This?,2025-01-13 15:43:55+00:00,0.9166666666666666,1180420,62725,961,0.05395198319242304,Monday,15,2025-01,Monday,15,24,0
This Phone Shouldn't Exist...,2025-01-10 22:34:29+00:00,0.8833333333333333,2775285,140444,1780,0.05124662872461747,Friday,22,2025-01,Friday,22,29,4
OnePlus 13 Review: The Bar Has Been Set!!,2025-01-07 16:30:47+00:00,15.083333333333334,4517806,133239,7461,0.03114343555256689,Tuesday,16,2025-01,Tuesday,16,41,1
The World's Largest Golf Simulator!,2025-01-05 19:02:08+00:00,2.533333333333333,1369501,59113,782,0.043734907824090674,Sunday,19,2025-01,Sunday,19,35,6
The Honey Scam: Explained,2024-12-31 20:17:18+00:00,10.883333333333333,6267350,233541,15441,0.03972683829688784,Tuesday,20,2024-12,Tuesday,20,25,1
WTF Happened in 2024?!,2024-12-28 20:58:22+00:00,15.833333333333334,2659418,137440,7242,0.054403632674517505,Saturday,20,2024-12,Saturday,20,22,5
Smartphone Awards 2024!,2024-12-19 23:35:02+00:00,27.5,6038801,217321,13148,0.03816469527642988,Thursday,23,2024-12,Thursday,23,23,3
This Video is Not Real,2024-12-19 17:25:27+00:00,2.1333333333333333,797197,30850,509,0.03933657552650098,Thursday,17,2024-12,Thursday,17,22,3
This Video is AI Generated! SORA Review,2024-12-09 16:02:33+00:00,16.683333333333334,4131601,131877,7309,0.03368815139700082,Monday,16,2024-12,Monday,16,39,0
I Tried the Weirdest “Open” Headphones,2024-11-29 20:32:43+00:00,14.65,2004255,59619,3634,0.03155935746698898,Friday,20,2024-11,Friday,20,38,4
This EV has a LOT of Tech,2024-11-26 16:21:26+00:00,1.7166666666666666,1438394,54298,1543,0.03882176927879288,Tuesday,16,2024-11,Tuesday,16,25,1
An Honest Review of Apple Intelligence... So Far,2024-11-22 22:38:00+00:00,17.816666666666666,4690625,119217,8561,0.027241145902731512,Friday,22,2024-11,Friday,22,48,4
Gaming on the BACK of the phone?,2024-11-19 22:00:19+00:00,0.95,2816653,156499,1673,0.056156012117928616,Tuesday,22,2024-11,Tuesday,22,32,1
M4 Max MacBook Pro: I'm Convinced!,2024-11-18 17:30:04+00:00,12.516666666666667,3781843,102922,5742,0.028733080669927333,Monday,17,2024-11,Monday,17,34,0
Only 1 Phone Comes With This,2024-11-16 17:17:15+00:00,0.9333333333333333,492794,25844,635,0.05373239122229573,Saturday,17,2024-11,Saturday,17,28,5
How My Video Gear is Changing!,2024-11-11 18:47:07+00:00,9.15,1934908,47572,10702,0.030117194202515053,Monday,18,2024-11,Monday,18,30,0
The M4 Mac Mini is Incredible!,2024-11-07 14:00:39+00:00,11.75,7261874,181791,8783,0.02624308821662287,Thursday,14,2024-11,Thursday,14,30,3
I Reuploaded This Short 1000 Times!,2024-11-02 16:23:00+00:00,0.9666666666666667,3544834,236557,3236,0.06764576281992331,Saturday,16,2024-11,Saturday,16,35,5
I Tried Real Augmented Reality Glasses!,2024-11-01 19:30:02+00:00,20.483333333333334,6698056,154511,7418,0.024175521972345407,Friday,19,2024-11,Friday,19,39,4
Taking 1000 Steps with Every Wearable!,2024-10-26 00:02:50+00:00,1.0,2474214,0,948,0.000383151982811511,Saturday,0,2024-10,Saturday,0,38,5
The Tri Folding Phone Impressions!,2024-10-20 20:48:21+00:00,11.3,5926327,186101,10975,0.03325432430576308,Sunday,20,2024-10,Sunday,20,34,6
The Tesla Robotaxi is Confusing...,2024-10-14 23:37:50+00:00,19.233333333333334,4981123,159720,18968,0.03587303505655251,Monday,23,2024-10,Monday,23,34,0
Let's Talk About Panels,2024-10-11 16:12:14+00:00,15.733333333333333,3515570,193382,13342,0.05880241326442085,Friday,16,2024-10,Friday,16,23,4
