title,published_date,duration,views,likes,comments,engagement_rate,day_of_week,hour,Month,Day,Hour,TitleLength,DayOfWeek
World's First Intel ARC PC Build! (A770),2022-09-19 22:59:24+00:00,16.916666666666668,3259983,140765,6542,0.045186431953786264,Monday,22,2022-09,Monday,22,40,0
iPhone 14 Review: Repackaging 101!,2022-09-16 23:32:53+00:00,13.45,6323590,164501,9201,0.027468890298074353,Friday,23,2022-09,Friday,23,34,4
iPhone 14 Pro Review: This Will Be Copied!,2022-09-14 13:01:12+00:00,22.35,13253442,354332,18607,0.02813902984598265,Wednesday,13,2022-09,Wednesday,13,42,2
The State of Foldables 2022: Samsung vs The World!,2022-09-12 21:59:09+00:00,11.6,2779066,97391,5182,0.03690916300656408,Monday,21,2022-09,Monday,21,50,0
The Ultimate Pocket Camera: Insta360 X3!,2022-09-09 18:59:05+00:00,7.983333333333333,3220744,103298,2849,0.03295729185554642,Friday,18,2022-09,Friday,18,40,4
Apple Watch Ultra Impressions: Polished Overkill!,2022-09-08 22:10:04+00:00,11.516666666666667,5176548,157207,6593,0.031642708615857516,Thursday,22,2022-09,Thursday,22,49,3
iPhone 14/Pro Impressions: Welcome to Dynamic Island!,2022-09-08 05:33:31+00:00,13.45,8644315,299949,17970,0.03677781293254584,Thursday,5,2022-09,Thursday,5,53,3
Google Pixel Buds Pro Review: Just Get These!,2022-08-30 21:49:10+00:00,9.916666666666666,3849736,128233,4070,0.034366772163078194,Tuesday,21,2022-08,Tuesday,21,45,1
The Hyundai IONIQ 5: I Get It Now!,2022-08-25 21:49:16+00:00,9.566666666666666,3707974,110638,4511,0.031054424869214295,Thursday,21,2022-08,Thursday,21,34,3
Android 13 Hands-On: Top 5 Features!,2022-08-16 20:03:28+00:00,8.016666666666667,4041987,157479,5569,0.04033857605182797,Tuesday,20,2022-08,Tuesday,20,36,1
Dope Tech: The Most Extreme Gaming Monitor!,2022-08-15 14:16:31+00:00,12.75,4806363,161066,4321,0.03441001023018861,Monday,14,2022-08,Monday,14,43,0
Samsung Z Fold 4/ Flip 4 Impressions + Watch 5 Pro!,2022-08-10 13:01:11+00:00,9.733333333333333,4306452,142959,5607,0.0344984688091264,Wednesday,13,2022-08,Wednesday,13,51,2
Best Back to School Tech 2022!,2022-08-08 15:00:13+00:00,9.383333333333333,2895264,119866,5174,0.04318777147783415,Monday,15,2022-08,Monday,15,30,0
OnePlus 10T Impressions: Somebody That You Used to Know,2022-08-03 15:30:32+00:00,9.1,2322379,82847,5735,0.03814278375751762,Wednesday,15,2022-08,Wednesday,15,55,2
Asus Zenfone 9: The New Compact King!,2022-08-01 22:23:11+00:00,10.9,3880746,140907,7397,0.038215332825183614,Monday,22,2022-08,Monday,22,37,0
The iPad's Odd New Feature,2022-07-28 00:33:15+00:00,8.616666666666667,2818710,97675,6241,0.03686650985734609,Thursday,0,2022-07,Thursday,0,26,3
Google Pixel 6A Review: Can You Feel It?,2022-07-21 17:01:03+00:00,9.516666666666667,4243383,122114,6512,0.030312135388203234,Thursday,17,2022-07,Thursday,17,40,3
M2 MacBook Air Review: More Than a Refresh!,2022-07-18 23:10:57+00:00,11.766666666666667,7629257,182224,6542,0.02474238317047125,Monday,23,2022-07,Monday,23,43,0
Nothing Phone (1) Review: Seeing Through the Hype!,2022-07-15 09:02:28+00:00,14.216666666666667,6506869,199264,7404,0.03176151233411953,Friday,9,2022-07,Friday,9,50,4
iOS 16 Hands-On: Top 5 New Features!,2022-07-11 17:20:43+00:00,10.816666666666666,10363734,318981,9905,0.03173431506443527,Monday,17,2022-07,Monday,17,36,0
The World's Largest Smartphone Camera! Xiaomi 12S Ultra,2022-07-08 00:57:43+00:00,12.466666666666667,3406228,121979,4511,0.037134918742961424,Friday,0,2022-07,Friday,0,55,4
ROG Phone 6 Pro Review: Daily Driver Material!,2022-07-05 12:30:45+00:00,9.166666666666666,2732040,108437,4621,0.041382263802872576,Tuesday,12,2022-07,Tuesday,12,46,1
Reviewing MKBHD Videos!,2022-07-02 16:47:14+00:00,18.85,2787668,121911,3927,0.04514095652710438,Saturday,16,2022-07,Saturday,16,23,5
M2 MacBook Pro: Why Does This Exist?,2022-06-29 21:48:30+00:00,7.75,3205670,108136,4800,0.035230076707833305,Wednesday,21,2022-06,Wednesday,21,36,2
Ford F150 Lightning is the iPhone of Pickup Trucks!,2022-06-24 19:33:48+00:00,8.65,3662097,121509,6387,0.034924252416033766,Friday,19,2022-06,Friday,19,51,4
The Nothing Phone LOOKS Different,2022-06-21 13:15:27+00:00,6.816666666666666,8309375,306295,14144,0.038563550206844675,Tuesday,13,2022-06,Tuesday,13,33,1
This Was Ahead of its Time!,2022-06-11 16:25:12+00:00,14.05,5542160,178975,6206,0.03341314577709774,Saturday,16,2022-06,Saturday,16,27,5
M2 MacBook Air Impressions: Midnight Madness!,2022-06-08 20:58:06+00:00,7.866666666666666,5761470,154493,6545,0.027950852820547534,Wednesday,20,2022-06,Wednesday,20,45,2
WWDC 2022 Impressions: M2 Macs and iOS 16?!,2022-06-07 06:37:43+00:00,17.483333333333334,4877448,286191,7003,0.060112173415277824,Tuesday,6,2022-06,Tuesday,6,43,1
The Future of Smartphone Cameras? Sony Xperia 1 IV!,2022-05-24 00:17:02+00:00,10.316666666666666,2851361,104989,4056,0.03824314073174179,Tuesday,0,2022-05,Tuesday,0,51,1
DALLE: AI Made This Thumbnail!,2022-05-16 22:48:57+00:00,15.183333333333334,2715034,141293,6014,0.05425604246576654,Monday,22,2022-05,Monday,22,30,0
"Sony WH-1000XM5 Review: Two Steps Forward, One Step Back!",2022-05-12 16:01:05+00:00,10.216666666666667,6355005,188370,7583,0.03083443679430622,Thursday,16,2022-05,Thursday,16,57,3
"Pixel Watch, Pixel 7 and Google's Hardware Reveal 2022!",2022-05-11 18:55:06+00:00,11.583333333333334,2705422,103291,5883,0.04035377844935097,Wednesday,18,2022-05,Wednesday,18,55,2
What Happens When the iPhone Peaks?,2022-04-30 02:36:09+00:00,8.95,4291982,156617,10002,0.038820992259520196,Saturday,2,2022-04,Saturday,2,35,5
David Blaine Teaches Me Magic!,2022-04-25 15:53:00+00:00,26.666666666666668,1298763,63214,1863,0.05010690942073342,Monday,15,2022-04,Monday,15,30,0
Ford's Coolest Electric Truck is from 1978!,2022-04-18 21:55:51+00:00,8.316666666666666,1670138,96293,4211,0.0601770632127405,Monday,21,2022-04,Monday,21,43,0
I Gave the Pixel Another Chance...,2022-04-14 02:04:12+00:00,8.133333333333333,3095431,114527,6512,0.039102470706018,Thursday,2,2022-04,Thursday,2,34,3
The SteamDeck is Incomplete But Fun!,2022-04-11 22:27:22+00:00,11.233333333333333,2699880,98870,5177,0.03853763870986859,Monday,22,2022-04,Monday,22,36,0
YouTube Needs to Fix This,2022-04-02 00:26:01+00:00,10.833333333333334,3075128,191950,14472,0.06712631149012334,Saturday,0,2022-04,Saturday,0,25,5
The Electric Car Pre-Order Problem,2022-03-30 21:12:29+00:00,13.35,2468157,113855,6698,0.04884332722756291,Wednesday,21,2022-03,Wednesday,21,34,2
Does Fast Charging ACTUALLY Ruin Your Battery?,2022-03-25 22:08:26+00:00,12.766666666666667,9090599,357771,15080,0.04101500902195774,Friday,22,2022-03,Friday,22,46,4
"""The Apple Studio Display is a Bad Deal""",2022-03-22 21:38:26+00:00,12.3,5763866,159558,10129,0.0294397891970424,Tuesday,21,2022-03,Tuesday,21,40,1
Mac Studio Review: Double Trouble!,2022-03-18 21:35:13+00:00,14.766666666666667,4163466,136566,4722,0.0339351876537481,Friday,21,2022-03,Friday,21,34,4
iPad Air M1 Review: Don't Choose Wrong!,2022-03-16 13:01:10+00:00,9.45,6768546,177543,5110,0.02698555938010911,Wednesday,13,2022-03,Wednesday,13,39,2
iPhone SE (2022) Review: Old Dog. New Trick.,2022-03-14 13:00:48+00:00,10.866666666666667,4530702,146425,10093,0.03454608137988329,Monday,13,2022-03,Monday,13,44,0
The Green iPhone 13 in 59 seconds!,2022-03-11 14:00:25+00:00,1.0,5296803,264665,2487,0.05043646139001205,Friday,14,2022-03,Friday,14,34,4
NEW Mac Studio & Apple Event Reactions!,2022-03-09 01:49:23+00:00,13.116666666666667,3131273,132977,6824,0.0446466980042941,Wednesday,1,2022-03,Wednesday,1,39,2
Dope Tech: Weirdest Earbuds I've Ever Tried!,2022-03-02 21:33:32+00:00,13.3,2950703,125701,3675,0.04384582250399312,Wednesday,21,2022-03,Wednesday,21,44,2
Galaxy Tab S8 Ultra: A Monster Tablet!,2022-02-25 21:44:33+00:00,11.566666666666666,6421784,170051,6917,0.027557451325052353,Friday,21,2022-02,Friday,21,38,4
Galaxy S22 Ultra Review: Separating from the Pack!,2022-02-22 23:57:42+00:00,13.166666666666666,6244444,161958,6980,0.02705413003943986,Tuesday,23,2022-02,Tuesday,23,50,1
Galaxy S22 Review: The iPhone of Android!,2022-02-18 21:11:22+00:00,13.566666666666666,8151559,224574,13767,0.02923870145575834,Friday,21,2022-02,Friday,21,41,4
On New Cybertruck Updates from Drone Footage...,2022-02-17 00:05:43+00:00,9.95,2208769,92607,2728,0.043162050898034154,Thursday,0,2022-02,Thursday,0,47,3
Galaxy S22 Ultra Impressions: It's a Note!,2022-02-09 15:01:16+00:00,7.616666666666666,3439273,136839,6486,0.041673051252401304,Wednesday,15,2022-02,Wednesday,15,42,2
Galaxy S22 Impressions: 1 Real Downgrade!,2022-02-09 15:01:03+00:00,6.283333333333333,2724145,99527,4482,0.038180419911568585,Wednesday,15,2022-02,Wednesday,15,41,2
An Announcement!,2022-02-01 19:57:57+00:00,7.666666666666667,2735400,132917,4215,0.05013233896322293,Tuesday,19,2022-02,Tuesday,19,16,1
OnePlus 10 Pro Impressions: What Happened?,2022-01-28 03:09:41+00:00,13.533333333333333,4290927,118246,8866,0.029623435681846836,Friday,3,2022-01,Friday,3,42,4
Blue Bubbles vs Green Bubbles: Explained!,2022-01-24 22:32:41+00:00,20.766666666666666,6292439,245497,23500,0.04274924238439181,Monday,22,2022-01,Monday,22,41,0
When Tech Companies Lie to Us...,2022-01-13 21:11:21+00:00,14.383333333333333,4313981,181074,8473,0.04393783839103603,Thursday,21,2022-01,Thursday,21,32,3
My Everyday Tech: 2022!,2022-01-07 23:42:52+00:00,14.333333333333334,5635319,150929,4806,0.027635525158380563,Friday,23,2022-01,Friday,23,23,4
2022 Tech I'm Ready For!,2022-01-05 20:55:27+00:00,14.833333333333334,2956150,110776,4710,0.039066353195879776,Wednesday,20,2022-01,Wednesday,20,24,2
"Galaxy S21 FE Impressions: Great Phone, Odd Price!",2022-01-04 02:00:50+00:00,8.666666666666666,3678956,118957,5919,0.033943325225960844,Tuesday,2,2022-01,Tuesday,2,50,1
Rewind: Best Gadgets of 2021!,2021-12-29 14:22:10+00:00,12.116666666666667,2961780,92164,3202,0.032198880403000896,Wednesday,14,2021-12,Wednesday,14,29,2
Tech Rewind 2021!,2021-12-26 14:24:17+00:00,13.216666666666667,1911923,86344,2808,0.046629492924139725,Sunday,14,2021-12,Sunday,14,17,6
Smartphone Awards 2021!,2021-12-22 23:00:05+00:00,25.633333333333333,5491458,211465,13600,0.040984561841317914,Wednesday,23,2021-12,Wednesday,23,23,2
20 Questions with MrBeast!,2021-12-20 22:46:35+00:00,17.533333333333335,4798290,254292,6526,0.05435644781786845,Monday,22,2021-12,Monday,22,26,0
The Blind Smartphone Camera Test 2021!,2021-12-17 20:10:08+00:00,11.516666666666667,2276299,113336,5199,0.052073563270905975,Friday,20,2021-12,Friday,20,38,4
Oppo Find N Impressions: The Best Folding Phone?!,2021-12-15 12:18:22+00:00,8.933333333333334,3410963,99781,5126,0.030755830538179395,Wednesday,12,2021-12,Wednesday,12,49,2
Smartphone Cameras vs Reality!,2021-12-09 01:04:19+00:00,9.583333333333334,2732033,130399,5536,0.0497559875740886,Thursday,1,2021-12,Thursday,1,30,3
This Smartphone is Built Different...,2021-12-06 18:26:25+00:00,11.266666666666667,3200922,149005,7393,0.048860297126890315,Monday,18,2021-12,Monday,18,37,0
"Why Does This $10,000 Gucci Xbox Exist?",2021-12-02 00:40:32+00:00,11.483333333333333,2185860,106113,5120,0.05088752253117766,Thursday,0,2021-12,Thursday,0,39,3
What is a Google Phone!?! Reviewing Every Pixel/Nexus Ever!,2021-11-24 02:13:06+00:00,31.916666666666668,4924025,126249,8068,0.02727788750057118,Wednesday,2,2021-11,Wednesday,2,59,2
Apple vs Right to Repair: Part 2!,2021-11-17 21:42:55+00:00,6.85,1780598,88635,3630,0.05181686152629622,Wednesday,21,2021-11,Wednesday,21,33,2
Dear YouTube!,2021-11-11 21:51:00+00:00,9.883333333333333,3747804,504224,35966,0.14413507216492644,Thursday,21,2021-11,Thursday,21,13,3
The Best Camera in Any Phone... With a Catch!,2021-11-10 03:05:05+00:00,11.416666666666666,3003001,109288,6574,0.03858207173424184,Wednesday,3,2021-11,Wednesday,3,45,2
M1 Max MacBook Pro Review: Truly Next Level!,2021-11-05 02:34:19+00:00,22.633333333333333,8260838,224683,11395,0.028577972355831212,Friday,2,2021-11,Friday,2,44,4
AirPods 3 Review: Easy Mode!,2021-11-02 17:39:29+00:00,10.883333333333333,4991646,150964,5364,0.031317925990745336,Tuesday,17,2021-11,Tuesday,17,28,1
Pixel 6/6 Pro Review: Almost Incredible!,2021-10-27 22:17:45+00:00,21.833333333333332,8125589,243166,14815,0.03174920611908872,Wednesday,22,2021-10,Wednesday,22,40,2
The Rivian R1T is an Incredibly Fun Electric Pickup!,2021-10-22 15:41:48+00:00,21.366666666666667,5905556,132140,9134,0.023922218331347632,Friday,15,2021-10,Friday,15,52,4
Surface Duo 2: Can This Be Saved?,2021-10-21 13:01:47+00:00,11.933333333333334,2541695,81364,7850,0.035100198883028844,Thursday,13,2021-10,Thursday,13,33,3
Pixel 6/6 Pro Unboxing & First Look!,2021-10-19 17:00:47+00:00,8.833333333333334,4592156,186174,9980,0.042715012294878486,Tuesday,17,2021-10,Tuesday,17,36,1
NEW M1 Max MacBook Pro Reaction: The Ports are Back!,2021-10-18 23:54:43+00:00,13.316666666666666,5488764,198323,13459,0.038584643099976605,Monday,23,2021-10,Monday,23,52,0
Apple Watch Series 7 Review: Spot the Differences!,2021-10-13 13:00:45+00:00,10.25,5166955,133010,5417,0.02679082747962775,Wednesday,13,2021-10,Wednesday,13,50,2
Reviewing EVERY iPhone Ever!,2021-10-12 03:21:54+00:00,33.25,18305809,431151,21158,0.02470849553821959,Tuesday,3,2021-10,Tuesday,3,28,1
Surface Laptop Studio Impressions: Windows 11 With a Twist!,2021-10-05 23:31:38+00:00,11.45,3793260,106049,3888,0.02898219473487185,Tuesday,23,2021-10,Tuesday,23,59,1
iPhone 13 Pro Review: Better Than You Think!,2021-10-02 00:40:12+00:00,18.383333333333333,10021447,240259,12550,0.025226796090424865,Saturday,0,2021-10,Saturday,0,44,5
RED V-RAPTOR Impressions: 8K 120fps!,2021-09-29 23:01:14+00:00,10.816666666666666,2574668,96716,4161,0.0391805856133684,Wednesday,23,2021-09,Wednesday,23,36,2
iPhone 13 Review: Lowkey Great!,2021-09-28 00:44:53+00:00,18.05,9289388,236889,11197,0.026706387977335,Tuesday,0,2021-09,Tuesday,0,31,1
iPad Mini 2021 Review: Pocketable Power!,2021-09-22 13:00:51+00:00,9.133333333333333,6316695,170565,8708,0.028380822566231232,Wednesday,13,2021-09,Wednesday,13,40,2
iPhone 13 Unboxing & Impressions!,2021-09-21 13:01:01+00:00,11.05,9092378,276266,15918,0.03213504761900572,Tuesday,13,2021-09,Tuesday,13,33,1
3 Features the iPhone 13 Didn't Add!,2021-09-17 20:04:33+00:00,13.816666666666666,3322742,122263,8170,0.039254627653907526,Friday,20,2021-09,Friday,20,36,4
iPhone 13 Event Reaction: Everything New!,2021-09-15 01:17:57+00:00,12.4,8126381,250126,16901,0.03285927647251587,Wednesday,1,2021-09,Wednesday,1,41,2
Real Thoughts on Tech Leaks!,2021-09-13 18:42:40+00:00,11.816666666666666,2300133,98076,4781,0.044717848924388286,Monday,18,2021-09,Monday,18,28,0
Driving 1000 Miles in 3 Cars: Gas vs Electric!,2021-09-09 14:00:03+00:00,19.4,3976917,147315,12604,0.04021180225787966,Thursday,14,2021-09,Thursday,14,46,3
Samsung Z Flip 3 Review: The First Big Step!,2021-08-26 23:07:22+00:00,12.8,5124523,135171,7300,0.027801807114535344,Thursday,23,2021-08,Thursday,23,44,3
The Tesla Bot: Explained!,2021-08-23 23:06:19+00:00,15.116666666666667,5535367,205950,25260,0.041769588177260876,Monday,23,2021-08,Monday,23,25,0
Samsung Z Fold 3 Review: Let's Talk Ambition!,2021-08-20 15:32:14+00:00,15.15,5034906,125683,6706,0.026294234688790614,Friday,15,2021-08,Friday,15,45,4
Google Pixel 5A: Spot the Difference!,2021-08-17 16:00:54+00:00,9.916666666666666,3334290,109047,5137,0.03424537157835701,Tuesday,16,2021-08,Tuesday,16,37,1
Samsung Galaxy Z Flip 3 Impressions: Design Refresh!,2021-08-11 14:01:19+00:00,6.4,6637353,173315,7149,0.02718915206107013,Wednesday,14,2021-08,Wednesday,14,52,2
Samsung Galaxy Z Fold 3 Impressions: 3 New Features!,2021-08-11 14:00:57+00:00,11.166666666666666,3234324,109705,6751,0.03600628755808014,Wednesday,14,2021-08,Wednesday,14,52,2
Pixel 6's Tensor Chip: Let's Talk!,2021-08-02 16:00:37+00:00,10.15,3910086,167275,7635,0.04473303144739016,Monday,16,2021-08,Monday,16,34,0
The Electric Hummer: Hands-On & Impressions!,2021-07-30 23:59:10+00:00,10.133333333333333,2674666,110764,6991,0.044026057833015414,Friday,23,2021-07,Friday,23,44,4
Nothing Ear(1) Review: Transparent Buds!,2021-07-29 13:00:28+00:00,10.2,3969480,155716,6730,0.040923748198756514,Thursday,13,2021-07,Thursday,13,40,3
The iPhone 13 Models!,2021-07-27 01:03:50+00:00,8.916666666666666,4340744,141386,9308,0.03471616847250149,Tuesday,1,2021-07,Tuesday,1,21,1
Tesla Model S PLAID Impressions: Re-Inventing the Wheel!,2021-07-23 00:55:10+00:00,20.7,12427873,295947,18266,0.02528292653135416,Friday,0,2021-07,Friday,0,56,4
How Do YouTubers Make Money? (And Other Questions We Have to Answer),2021-07-16 15:37:54+00:00,14.316666666666666,2735577,138703,6351,0.0530250108112475,Friday,15,2021-07,Friday,15,68,4
iPadOS 15 Review: Dropped Expectations!,2021-07-07 22:09:15+00:00,12.383333333333333,2936465,100883,5064,0.03607977619348434,Wednesday,22,2021-07,Wednesday,22,39,2
iOS 15 Hands-On: Top 5 New Features!,2021-07-02 16:16:24+00:00,12.433333333333334,8422387,242073,8495,0.029750235889184386,Friday,16,2021-07,Friday,16,36,4
Sony Xperia 1 III: The Ultimate Enthusiast Phone!,2021-07-01 14:00:56+00:00,13.366666666666667,3363324,124949,10467,0.0402625497870559,Thursday,14,2021-07,Thursday,14,49,3
Why Everything is an Ultrabook!,2021-06-30 17:01:49+00:00,9.066666666666666,2761453,86207,4837,0.03296959969986815,Wednesday,17,2021-06,Wednesday,17,31,2
Windows 11 Reactions: It Runs Android Apps! (Kinda),2021-06-24 21:24:26+00:00,9.133333333333333,5462984,231876,15144,0.04521704621503559,Thursday,21,2021-06,Thursday,21,51,3
Forgot About Beats by Dre?,2021-06-17 22:32:44+00:00,13.566666666666666,6269158,188096,8411,0.03134503867983547,Thursday,22,2021-06,Thursday,22,26,3
Top 5 Android 12 Features: Huge Redesign!,2021-06-13 13:02:42+00:00,12.283333333333333,3900003,164631,10245,0.04483996550771884,Sunday,13,2021-06,Sunday,13,41,6
"Why iPhone's Features are Always ""Late""",2021-06-08 20:06:34+00:00,11.733333333333333,4257242,179262,12195,0.04497207346916149,Tuesday,20,2021-06,Tuesday,20,39,1
When Smartphones Copy Each Other!,2021-06-02 22:02:56+00:00,10.2,1565657,72362,3360,0.04836436077633862,Wednesday,22,2021-06,Wednesday,22,33,2
Ford F150 Lightning Impressions: Better Than I Thought!,2021-05-28 03:07:57+00:00,13.583333333333334,8200478,286532,28742,0.03844580767121136,Friday,3,2021-05,Friday,3,55,4
Talking Tech and AI with Google CEO Sundar Pichai!,2021-05-21 20:26:03+00:00,14.35,4356240,200954,9689,0.04835431473013425,Friday,20,2021-05,Friday,20,50,4
iPad Pro M1 Review: The Ultimate Spec Bump!,2021-05-19 13:01:25+00:00,16.283333333333335,7283926,222978,12973,0.0323933823600075,Wednesday,13,2021-05,Wednesday,13,43,2
M1 iMac Review: Ultra Thin Design Choice!,2021-05-18 13:00:57+00:00,13.366666666666667,6068849,199062,12690,0.03489162442499393,Tuesday,13,2021-05,Tuesday,13,41,1
What Is Right To Repair?,2021-05-08 01:03:28+00:00,20.266666666666666,4632924,251250,13792,0.05720836344390713,Saturday,1,2021-05,Saturday,1,24,5
Apple vs The Paradox of Choice!,2021-04-30 00:07:22+00:00,15.766666666666667,4593885,181439,11887,0.04208333469383757,Friday,0,2021-04,Friday,0,31,4
OnePlus Watch Review: They Settled!,2021-04-26 23:20:48+00:00,11.083333333333334,3238761,124727,7830,0.04092830560822487,Monday,23,2021-04,Monday,23,35,0
The New Purple iPhone 12!,2021-04-23 13:00:59+00:00,7.616666666666666,3570109,143389,7550,0.04227854107535652,Friday,13,2021-04,Friday,13,25,4
Apple AirTags Unboxing & Demo!,2021-04-22 13:00:44+00:00,11.433333333333334,9568244,280693,21251,0.03155688755428896,Thursday,13,2021-04,Thursday,13,30,3
Colored iMacs? Let's Talk About Apple's 4/20 Event!,2021-04-21 01:12:28+00:00,16.2,4916063,182188,21768,0.04148767011325933,Wednesday,1,2021-04,Wednesday,1,51,2
Retro Tech: Smart Homes,2021-04-17 13:00:30+00:00,20.266666666666666,1192986,44756,2542,0.03964673516705142,Saturday,13,2021-04,Saturday,13,23,5
Retro Tech: Hyperconnectivity,2021-04-16 13:00:07+00:00,19.783333333333335,778459,31946,2041,0.04365933209070741,Friday,13,2021-04,Friday,13,29,4
Retro Tech: Robots,2021-04-15 13:00:16+00:00,21.7,822452,35080,1848,0.04489988473491462,Thursday,13,2021-04,Thursday,13,18,3
Retro Tech: Teleportation,2021-04-14 13:00:18+00:00,20.2,1616852,55351,2893,0.03602308683788003,Wednesday,13,2021-04,Wednesday,13,25,2
Retro Tech: Wearables,2021-04-13 13:00:32+00:00,20.016666666666666,0,0,1253,inf,Tuesday,13,2021-04,Tuesday,13,21,1
Retro Tech: Flying Cars,2021-04-13 13:00:30+00:00,19.383333333333333,2545237,95866,5195,0.03970592915315941,Tuesday,13,2021-04,Tuesday,13,23,1
The World's Largest Smartphone Camera!,2021-04-12 13:00:19+00:00,15.95,3489878,120390,7934,0.036770339822767444,Monday,13,2021-04,Monday,13,38,0
Top 5 Mercedes EQS Features: Electric Luxury!,2021-04-11 22:01:55+00:00,15.616666666666667,6069588,148640,14426,0.026866073941097815,Sunday,22,2021-04,Sunday,22,45,6
The Ultimate Gaming Phone!,2021-04-08 12:00:35+00:00,12.9,6587168,223407,18257,0.03668708616510161,Thursday,12,2021-04,Thursday,12,26,3
Why Did LG Phones Really Die?,2021-04-06 20:10:32+00:00,16.75,3609106,141419,14833,0.043293824010710684,Tuesday,20,2021-04,Tuesday,20,29,1
The Best Mac I've Ever Reviewed!,2021-04-01 11:47:05+00:00,9.016666666666667,2346989,242833,18105,0.11117989901103073,Thursday,11,2021-04,Thursday,11,32,3
OnePlus 9 Review: Sneaky Value!,2021-03-24 22:37:02+00:00,11.216666666666667,2466711,85093,5180,0.03659650441417742,Wednesday,22,2021-03,Wednesday,22,31,2
OnePlus 9 Pro Review: A Huge Hasselblad Promise!,2021-03-23 15:01:27+00:00,20.766666666666666,4675239,144633,10601,0.03320343623074671,Tuesday,15,2021-03,Tuesday,15,48,1
Huawei Mate X2 Impressions: I Was Right!,2021-03-19 00:05:40+00:00,9.216666666666667,3084474,123348,7466,0.04241047257976563,Friday,0,2021-03,Friday,0,40,4
Dope Tech: The Fastest Drone AND Car Yet!,2021-03-17 01:23:57+00:00,18.566666666666666,3526026,128052,6331,0.038111743929284694,Wednesday,1,2021-03,Wednesday,1,41,2
The Smartphone With a Microscope Camera?!,2021-03-13 02:09:21+00:00,13.033333333333333,3686047,126665,7661,0.036441749114973304,Saturday,2,2021-03,Saturday,2,41,5
ROG Phone 5 Ultimate Review: The Most Ridiculous Custom!,2021-03-10 12:07:27+00:00,15.383333333333333,2848334,118619,8177,0.04451584680729156,Wednesday,12,2021-03,Wednesday,12,56,2
What I REALLY Think of the iPhone!,2021-03-05 18:54:05+00:00,47.96666666666667,10899872,300274,22529,0.02961530190446273,Friday,18,2021-03,Friday,18,34,4
"iPhone 13 ""Confirmed""?! NOPE",2021-02-27 00:19:54+00:00,13.166666666666666,2587334,114596,6190,0.04668357467570866,Saturday,0,2021-02,Saturday,0,28,5
Dogecoin: Explained,2021-02-16 04:04:06+00:00,10.75,3679835,148464,14824,0.044373728713379815,Tuesday,4,2021-02,Tuesday,4,19,1
How to Upgrade a PlayStation 5!,2021-02-13 00:16:07+00:00,9.583333333333334,2457785,89803,3959,0.038148983739423915,Saturday,0,2021-02,Saturday,0,31,5
Huawei Mate Xs Impressions: The Hottest Foldable!,2021-02-05 21:21:05+00:00,9.283333333333333,2492187,103970,4801,0.043644798724975294,Friday,21,2021-02,Friday,21,49,4
Galaxy S21 Review: Would You Notice?,2021-02-02 23:30:16+00:00,10.716666666666667,5255803,163878,9985,0.03308019726005712,Tuesday,23,2021-02,Tuesday,23,36,1
2021 Tesla Model S Refresh Reaction!,2021-01-29 03:43:09+00:00,13.3,6308614,222279,12551,0.03722370714074438,Friday,3,2021-01,Friday,3,36,4
"The Only REAL ""Pro"" Smartphone?!",2021-01-27 23:40:23+00:00,9.683333333333334,7578472,254739,11773,0.035166983529133576,Wednesday,23,2021-01,Wednesday,23,32,2
The Invisible Selfie Camera!,2021-01-25 23:45:05+00:00,10.583333333333334,3463146,136820,10063,0.04241316999052307,Monday,23,2021-01,Monday,23,28,0
Samsung Galaxy S21 Ultra Review: Problems Solved!,2021-01-21 16:01:07+00:00,14.7,6827381,198467,12094,0.030840669357693674,Thursday,16,2021-01,Thursday,16,49,3
Xiaomi Mi 11: The New Normal!,2021-01-20 00:01:24+00:00,10.55,3737147,135638,10014,0.038974115816156014,Wednesday,0,2021-01,Wednesday,0,29,2
Huge Apple 2021 Rumor Reactions!,2021-01-17 22:48:50+00:00,14.15,2934395,99344,7059,0.03626062612565793,Sunday,22,2021-01,Sunday,22,32,6
Samsung Galaxy S21 Ultra Impressions: Redemption Time!,2021-01-14 15:01:11+00:00,9.533333333333333,6181714,208846,16204,0.03640576060296546,Thursday,15,2021-01,Thursday,15,54,3
"Samsung Galaxy S21 Impressions: New Year, New Price!",2021-01-14 15:00:37+00:00,6.466666666666667,2379062,96159,8235,0.04388031921824652,Thursday,15,2021-01,Thursday,15,52,3
What Happened to OnePlus?,2021-01-12 23:30:23+00:00,9.1,5183239,253973,15588,0.05200628410150487,Tuesday,23,2021-01,Tuesday,23,25,1
2021 Tech I'm Ready For!,2020-12-31 22:21:01+00:00,17.633333333333333,3708533,169974,8170,0.0480362450597042,Thursday,22,2020-12,Thursday,22,24,3
Dear Electric Cars!,2020-12-29 00:55:17+00:00,15.466666666666667,3167463,174355,17734,0.060644433731349034,Tuesday,0,2020-12,Tuesday,0,19,1
Giving Away 24 PS5s and XBox Series X!,2020-12-25 14:00:05+00:00,2.2666666666666666,2202564,200609,95953,0.13464398764349186,Friday,14,2020-12,Friday,14,38,4
Smartphone Awards 2020!,2020-12-23 23:13:29+00:00,25.083333333333332,6971906,293946,18878,0.04486922227580234,Wednesday,23,2020-12,Wednesday,23,23,2
Some Quick Advice from Barack Obama!,2020-12-16 21:42:25+00:00,7.2,3686500,258782,13741,0.0739245897192459,Wednesday,21,2020-12,Wednesday,21,36,2
